date,hour,Num_Crashes,day
2020-07-13,8,2,Monday
2020-07-13,9,0,Monday
2020-07-13,10,2,Monday
2020-07-13,11,1,Monday
2020-07-13,12,0,Monday
2020-07-13,13,1,Monday
2020-07-13,14,0,Monday
2020-07-13,15,1,Monday
2020-07-13,16,1,Monday
2020-07-13,17,0,Monday
2020-07-13,18,1,Monday
2020-07-13,19,1,Monday
2020-07-13,20,2,Monday
2020-07-13,21,2,Monday
2020-07-13,22,1,Monday
2020-07-13,23,0,Monday
2020-07-14,0,0,Tuesday
2020-07-14,1,2,Tuesday
2020-07-14,2,1,Tuesday
2020-07-14,3,2,Tuesday
2020-07-14,4,0,Tuesday
2020-07-14,5,1,Tuesday
2020-07-14,6,0,Tuesday
2020-07-14,7,2,Tuesday
2020-07-14,8,1,Tuesday
2020-07-14,9,1,Tuesday
2020-07-14,10,0,Tuesday
2020-07-14,11,0,Tuesday
2020-07-14,12,4,Tuesday
2020-07-14,13,1,Tuesday
2020-07-14,14,2,Tuesday
2020-07-14,15,1,Tuesday
2020-07-14,16,0,Tuesday
2020-07-14,17,2,Tuesday
2020-07-14,18,2,Tuesday
2020-07-14,19,0,Tuesday
2020-07-14,20,1,Tuesday
2020-07-14,21,0,Tuesday
2020-07-14,22,2,Tuesday
2020-07-14,23,2,Tuesday
2020-07-15,0,1,Wednesday
2020-07-15,1,1,Wednesday
2020-07-15,2,0,Wednesday
2020-07-15,3,1,Wednesday
2020-07-15,4,1,Wednesday
2020-07-15,5,1,Wednesday
2020-07-15,6,1,Wednesday
2020-07-15,7,3,Wednesday
2020-07-15,8,3,Wednesday
2020-07-15,9,0,Wednesday
2020-07-15,10,1,Wednesday
2020-07-15,11,3,Wednesday
2020-07-15,12,2,Wednesday
2020-07-15,13,4,Wednesday
2020-07-15,14,4,Wednesday
2020-07-15,15,3,Wednesday
2020-07-15,16,3,Wednesday
2020-07-15,17,1,Wednesday
2020-07-15,18,3,Wednesday
2020-07-15,19,1,Wednesday
2020-07-15,20,0,Wednesday
2020-07-15,21,1,Wednesday
2020-07-15,22,3,Wednesday
2020-07-15,23,0,Wednesday
2020-07-16,0,0,Thursday
2020-07-16,1,0,Thursday
2020-07-16,2,0,Thursday
2020-07-16,3,0,Thursday
2020-07-16,4,1,Thursday
2020-07-16,5,1,Thursday
2020-07-16,6,2,Thursday
2020-07-16,7,0,Thursday
2020-07-16,8,2,Thursday
2020-07-16,9,2,Thursday
2020-07-16,10,5,Thursday
2020-07-16,11,2,Thursday
2020-07-16,12,2,Thursday
2020-07-16,13,0,Thursday
2020-07-16,14,0,Thursday
2020-07-16,15,3,Thursday
